source_run,latitude,longitude,address,heading,filename,tent_prediction_count,max_conf,classes_seen
api_test_workflow_v2_5pct_fresh_2026-04-28,34.0357415348,-118.24606124,"1002 E 8TH ST, 90021",180,34.0357415348_-118.24606124_180.jpg,1,0.7958,tent
api_test_workflow_v2_5pct_fresh_2026-04-28,34.0782919237,-118.222434175,"333 N AVENUE 21, 90031",0,34.0782919237_-118.222434175_0.jpg,1,0.6176,tent
api_test_workflow_v2_5pct_fresh_2026-04-28,34.0782919237,-118.222434175,"333 N AVENUE 21, 90031",180,34.0782919237_-118.222434175_180.jpg,1,0.7276,tent
api_test_workflow_v2_5pct_fresh_2026-04-28,34.1523539689,-118.361808316,"10601 W RIVERSIDE DR, 91602",270,34.1523539689_-118.361808316_270.jpg,2,0.7359,tent
api_test_workflow_v2_5pct_fresh_2026-04-28,34.2524314547,-118.296229616,"7523 W VALMONT ST, 91042",0,34.2524314547_-118.296229616_0.jpg,1,0.6918,tent
api_test_workflow_v2_5pct_fresh_2026-04-28,34.1701095119,-118.372172594,"11055 W CUMPSTON ST, 91601",180,34.1701095119_-118.372172594_180.jpg,1,0.833,tent
api_test_workflow_v2_5pct_fresh_2026-04-28,34.0822508864,-118.219755718,"2620 N LACY ST, 90031",270,34.0822508864_-118.219755718_270.jpg,1,0.8157,tent
api_test_workflow_v2_5pct_fresh_2026-04-28,34.0372931256,-118.216870403,"646 S CHICAGO ST, 90023",0,34.0372931256_-118.216870403_0.jpg,1,0.6846,tent
api_test_workflow_v2_5pct_fresh_2026-04-28,34.2147965969,-118.390008298,"BLYTHE ST AT MORELLA AVE, 91605",180,34.2147965969_-118.390008298_180.jpg,1,0.6536,tent
api_test_workflow_v2_5pct_fresh_2026-04-28,34.0424314196,-118.249615215,"701 S MAPLE AVE, 90014",0,34.0424314196_-118.249615215_0.jpg,2,0.7365,tent
api_test_workflow_v2_5pct_fresh_2026-04-28,34.0424314196,-118.249615215,"701 S MAPLE AVE, 90014",270,34.0424314196_-118.249615215_270.jpg,2,0.8021,tent
api_test_workflow_v2_5pct_fresh_2026-04-28,34.0919019656,-118.162311676,"5442 E HUNTINGTON DR SOUTH, 90032",90,34.0919019656_-118.162311676_90.jpg,1,0.8658,tent
api_test_workflow_v2_5pct_fresh_2026-04-28,34.1809013793,-118.368255484,"6053 N CLEON AVE, 91606",180,34.1809013793_-118.368255484_180.jpg,1,0.7797,tent
api_test_workflow_v2_5pct_fresh_2026-04-28,34.0310633623,-118.283078407,"948 W ADAMS BLVD, 90007",0,34.0310633623_-118.283078407_0.jpg,2,0.8761,tent
api_test_workflow_v2_5pct_fresh_2026-04-28,34.0310633623,-118.283078407,"948 W ADAMS BLVD, 90007",90,34.0310633623_-118.283078407_90.jpg,1,0.6243,tent
api_test_workflow_v2_5pct_fresh_2026-04-28,34.2680021667,-118.47291145,"10858 N BLUCHER AVE, 91344",90,34.2680021667_-118.47291145_90.jpg,1,0.7969,tent
api_test_workflow_v2_5pct_fresh_2026-04-28,34.0446333697,-118.243445992,"442 S SAN PEDRO ST, 90013",90,34.0446333697_-118.243445992_90.jpg,1,0.7565,tent
api_test_workflow_v2_5pct_fresh_2026-04-28,34.0446333697,-118.243445992,"442 S SAN PEDRO ST, 90013",180,34.0446333697_-118.243445992_180.jpg,1,0.6456,tent
api_test_workflow_v2_5pct_fresh_2026-04-28,34.2550907303,-118.401320742,"12303 W MONTAGUE ST, 91331",270,34.2550907303_-118.401320742_270.jpg,1,0.7545,tent
api_test_workflow_v2_5pct_fresh_2026-04-28,34.0609181787,-118.283006063,"2706 W WILSHIRE BLVD, 90057",0,34.0609181787_-118.283006063_0.jpg,1,0.7314,tent
api_test_workflow_v2_5pct_fresh_2026-04-28,34.042250097,-118.245282439,"6TH ST AT SAN PEDRO ST, 90013",270,34.042250097_-118.245282439_270.jpg,2,0.7468,tent
api_test_workflow_v2_5pct_fresh_2026-04-28,34.1536212999,-118.351550523,"4544 N TALOFA AVE, 91602",270,34.1536212999_-118.351550523_270.jpg,1,0.6295,tent
api_test_workflow_v2_5pct_fresh_2026-04-28,34.101096824,-118.311613171,"1669 N ST ANDREWS PL, 90028",0,34.101096824_-118.311613171_0.jpg,1,0.8692,tent
api_test_workflow_v2_5pct_fresh_2026-04-28,34.101096824,-118.311613171,"1669 N ST ANDREWS PL, 90028",180,34.101096824_-118.311613171_180.jpg,1,0.8235,tent
api_test_workflow_v2_5pct_fresh_2026-04-28,34.101096824,-118.311613171,"1669 N ST ANDREWS PL, 90028",270,34.101096824_-118.311613171_270.jpg,1,0.6735,tent
api_test_workflow_v2_5pct_fresh_2026-04-28,34.0419479525,-118.248329734,"401 E 7TH ST, 90014",0,34.0419479525_-118.248329734_0.jpg,1,0.8044,tent
api_test_workflow_v2_5pct_fresh_2026-04-28,34.0419479525,-118.248329734,"401 E 7TH ST, 90014",90,34.0419479525_-118.248329734_90.jpg,1,0.8744,tent
api_test_workflow_v2_5pct_fresh_2026-04-28,34.0419479525,-118.248329734,"401 E 7TH ST, 90014",270,34.0419479525_-118.248329734_270.jpg,1,0.7268,tent
api_test_workflow_v2_5pct_fresh_2026-04-28,34.0008722711,-118.45202642,"2017 S LOUELLA AVE, 90291",0,34.0008722711_-118.45202642_0.jpg,1,0.6262,tent
api_test_workflow_v2_5pct_fresh_2026-04-28,34.0573227353,-118.298941125,"811 S MARIPOSA AVE, 90005",180,34.0573227353_-118.298941125_180.jpg,1,0.7733,tent
api_test_workflow_v2_5pct_fresh_2026-04-28,34.2186299869,-118.396361177,"8130 N LAUREL CANYON BLVD, 91605",270,34.2186299869_-118.396361177_270.jpg,1,0.8154,tent
